Customer ID,First Name,Last Name,Email,Accepts Email Marketing,Default Address Company,Default Address Address1,Default Address Address2,Default Address City,Default Address Province Code,Default Address Country Code,Default Address Zip,Default Address Phone,Phone,Accepts SMS Marketing,Total Spent,Total Orders,Note,Tax Exempt,Tags,Accepts WhatsApp Marketing
'9686337159254,Delores,Lubowitz,egnition_sample_0041@egnition.com,no,,"P.O. Box 550, 344 Et Rd.",,Saint-Lo,,DM,46597,'+18094526204,'+15138712265,no,219.95,1,,no,"clothes, egnition-sample-data, VIP",no
'9686337290326,Ivy,Turner,egnition_sample_1195@egnition.com,no,,4 Mooney St,,Dallas,TX,US,65725,'+15123326370,'+14016095178,no,698.85,4,,no,"clothes, egnition-sample-data",no
'9686337355862,Gayle,Brakus,egnition_sample_2096@egnition.com,no,,1 College St,,Sydney,NSW,AU,2000,'+61423457102,'+17547009360,no,159.95,1,,no,"clothes, egnition-sample-data, referral",no
'9686337421398,Yazmin,Heaney,egnition_sample_5908@egnition.com,no,,10 Cahill Street,,San Jose,CA,US,95156,'+15123325630,'+12026260557,no,109.95,1,,no,"clothes, egnition-sample-data",no
'9686337486934,Claudine,Larkin,egnition_sample_1599@egnition.com,no,,30 Legiendamm street,,Berlin,,DE,10117,'+4930906723,'+14636785974,no,817.95,3,,no,"clothes, egnition-sample-data",no
'9686337585238,Ruthe,Hammes,egnition_sample_5257@egnition.com,no,,10 Cahill Street,,San Jose,CA,US,95156,'+15123325630,'+13529281544,no,0.00,0,,no,"clothes, egnition-sample-data",no
'9686337683542,Noe,Hartmann,egnition_sample_1801@egnition.com,no,,11 Pilgrim St,,London,,GB,EC4V 6RN,'+441212125123,'+15857891242,no,868.75,4,,no,"clothes, egnition-sample-data",no
'9686337716310,Shanon,Wilderman,egnition_sample_8797@egnition.com,no,,4 Mooney St,,Dallas,TX,US,65725,'+15123326370,'+13372373240,no,528.90,2,,no,"clothes, egnition-sample-data",no
'9686337781846,Hollis,Russel,egnition_sample_4419@egnition.com,no,,14 Damfaret St,,Oslo,,NO,'0890,'+4792913517,'+19347677269,no,429.90,2,,no,"clothes, egnition-sample-data",no
'9686337880150,Keira,Friesen,egnition_sample_3927@egnition.com,no,,1 La Rambla street,,Barcelona,B,ES,'08002,'+34789216317,'+16692657108,no,879.90,2,,no,"clothes, egnition-sample-data, VIP",no
