Name,Email,Financial Status,Paid at,Fulfillment Status,Fulfilled at,Accepts Marketing,Currency,Subtotal,Shipping,Taxes,Total,Discount Code,Discount Amount,Shipping Method,Created at,Lineitem quantity,Lineitem name,Lineitem price,Lineitem compare at price,Lineitem sku,Lineitem requires shipping,Lineitem taxable,Lineitem fulfillment status,Billing Name,Billing Street,Billing Address1,Billing Address2,Billing Company,Billing City,Billing Zip,Billing Province,Billing Country,Billing Phone,Shipping Name,Shipping Street,Shipping Address1,Shipping Address2,Shipping Company,Shipping City,Shipping Zip,Shipping Province,Shipping Country,Shipping Phone,Notes,Note Attributes,Cancelled at,Payment Method,Payment Reference,Refunded Amount,Vendor,Outstanding Balance,Employee,Location,Device ID,Id,Tags,Risk Level,Source,Lineitem discount,Tax 1 Name,Tax 1 Value,Tax 2 Name,Tax 2 Value,Tax 3 Name,Tax 3 Value,Tax 4 Name,Tax 4 Value,Tax 5 Name,Tax 5 Value,Phone,Receipt Number,Duties,Billing Province Name,Shipping Province Name,Payment ID,Payment Terms Name,Next Payment Due At,Payment References
#1020,egnition_sample_4419@egnition.com,refunded,,unfulfilled,,no,INR,129.95,0.00,0.00,129.95,"",0.00,"",2026-08-26 17:28:54 +0530,1,VANS | SH-8 HI - 4 / black,129.95,,VN-07-4-black,false,true,pending,Keira Friesen,"P.O. Box 550, 344 Et Rd.","P.O. Box 550, 344 Et Rd.",,,Saint-Lo,'46597,,DM,+18094526204,Hollis Russel,14 Damfaret St,14 Damfaret St,,,Oslo,'0890,,NO,+4792913517,,"",,"","",0.00,VANS,129.95,,,,9699511369814,"clothes, egnition-sample-data",Low,1608003,0.00,,,,,,,,,,,,,,,,,,,
#1019,egnition_sample_1599@egnition.com,paid,,unfulfilled,,no,INR,59.00,0.00,0.00,59.00,"",0.00,"",2026-08-26 17:28:53 +0530,1,VANS |AUTHENTIC | LO PRO | BURGANDY/WHITE - 4 / burgandy,29.00,,VN-01-4-burgandy,false,true,pending,Shanon Wilderman,22 Boulevard Chave,22 Boulevard Chave,,,13,'13005,,FR,+33490206437,Ivy Turner,30 Legiendamm street,30 Legiendamm street,,,Berlin,'10117,,DE,+4930906723,,"",,"","",0.00,VANS,59.00,,,,9699511304278,"clothes, egnition-sample-data",Low,1608003,0.00,,,,,,,,,,,,,,,,,,,
#1019,egnition_sample_1599@egnition.com,,,,,,,,,,,,,,2026-08-26 17:28:53 +0530,1,NIKE | SWOOSH PRO FLAT PEAK CAP - OS / white,30.00,"",NK-03-OS-white,false,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,NIKE,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1018,egnition_sample_1599@egnition.com,pending,,unfulfilled,,no,INR,518.95,0.00,0.00,518.95,"",0.00,"",2026-08-26 17:28:52 +0530,1,DR MARTENS | 1461 DMC 3-EYE SHOE | BLACK SMOOTH - 5 / black,229.00,,DM-01-5-black,false,true,pending,Delores Lubowitz,1 College St,1 College St,,,Sydney,'2000,NSW,AU,+61423457102,Noe Hartmann,1 La Rambla street,1 La Rambla street,,,Barcelona,'08002,B,ES,+34789216317,,"",,"","",0.00,DR MARTENS,518.95,,,,9699511238742,"clothes, egnition-sample-data",Low,1608003,0.00,,,,,,,,,,,,,,New South Wales,Barcelona,,,,
#1018,egnition_sample_1599@egnition.com,,,,,,,,,,,,,,2026-08-26 17:28:52 +0530,1,"VANS |
ERA 59 MOROCCAN | GEO/DRESS BLUES - 8 / blue",119.95,"",VN-04-8-blue,false,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,VANS,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1018,egnition_sample_1599@egnition.com,,,,,,,,,,,,,,2026-08-26 17:28:52 +0530,1,ADIDAS | SUPERSTAR 80S - 5 / white,170.00,"",AD-01-5-white,false,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,ADIDAS,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1017,egnition_sample_1195@egnition.com,pending,,unfulfilled,,no,INR,99.95,0.00,0.00,99.95,"",0.00,"",2026-08-26 17:28:51 +0530,1,VANS | AUTHENTIC | (MULTI EYELETS) | GRADIENT/CRIMSON - 5 / red,99.95,,VN-02-5-red,false,true,pending,Claudine Larkin,4 Mooney St,4 Mooney St,,,Dallas,'65725,TX,US,+15123326370,Claudine Larkin,4 Mooney St,4 Mooney St,,,Dallas,'65725,TX,US,+15123326370,,"",,"","",0.00,VANS,99.95,,,,9699511205974,"clothes, egnition-sample-data",Low,1608003,0.00,,,,,,,,,,,,,,Texas,Texas,,,,
#1016,egnition_sample_8797@egnition.com,paid,,unfulfilled,,no,INR,229.00,0.00,0.00,229.00,"",0.00,"",2026-08-26 17:28:50 +0530,1,DR MARTENS | 1461 DMC 3-EYE SHOE | BLACK SMOOTH - 5 / black,229.00,,DM-01-5-black,false,true,pending,Delores Lubowitz,1 College St,1 College St,,,Sydney,'2000,NSW,AU,+61423457102,Claudine Larkin,4 Mooney St,4 Mooney St,,,Dallas,'65725,TX,US,+15123326370,,"",,"","",0.00,DR MARTENS,229.00,,,,9699511173206,"clothes, egnition-sample-data",Low,1608003,0.00,,,,,,,,,,,,,,New South Wales,Texas,,,,
#1015,egnition_sample_4419@egnition.com,refunded,,unfulfilled,,no,INR,299.95,0.00,0.00,299.95,"",0.00,"",2026-08-26 17:27:53 +0530,1,VANS | SH-8 HI - 4 / black,129.95,,VN-07-4-black,false,true,pending,Gayle Brakus,11 Pilgrim St,11 Pilgrim St,,,London,EC4V 6RN,ENG,GB,+441212125123,Claudine Larkin,4 Mooney St,4 Mooney St,,,Dallas,'65725,TX,US,+15123326370,,"",,"","",0.00,VANS,299.95,,,,9699509698646,"clothes, egnition-sample-data",Low,1608003,0.00,,,,,,,,,,,,,,England,Texas,,,,
#1015,egnition_sample_4419@egnition.com,,,,,,,,,,,,,,2026-08-26 17:27:53 +0530,1,ADIDAS | SUPERSTAR 80S - 5 / white,170.00,"",AD-01-5-white,false,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,ADIDAS,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
